"ID","A1B1","A1B2","A1B3","A2B1","A2B2","A2B3","A3B1","A3B2","A4B1","A4B2","NONE"
70,-0.745886336507921,0.415628762049873,0.330257574458048,-1.78329529448301,-3.31313591538796,5.09643120987097,11.2064437395829,-11.2064437395829,11.5539169347695,-11.5539169347695,11.0128056811325
71,0.060885367122992,0.0578652112964893,-0.118750578419481,-1.57616307192769,-3.32349066068958,4.89965373261727,11.1003137161733,-11.1003137161733,11.2371113440944,-11.2371113440944,10.9191111332505
72,1.25274313658397,0.0232783705709143,-1.27602150715489,-0.841164477403293,-3.40425289743384,4.24541737483713,10.0485470695041,-10.0485470695041,10.5403179383764,-10.5403179383764,10.6449744528136
73,0.684894806783308,-0.452352000053573,-0.232542806729735,-1.45588284665383,-3.45820952489404,4.91409237154787,10.2540536105441,-10.2540536105441,10.48366601335,-10.48366601335,11.0151048746347
74,1.6381923114779,0.547920568815416,-2.18611288029332,-0.733677843572608,-3.30128555316932,4.03496339674192,9.59375236151675,-9.59375236151675,9.82306033255832,-9.82306033255832,10.8092957180723
75,-0.414575186952111,0.450104065588217,-0.0355288786361062,-2.01541281367517,-2.75946084379653,4.7748736574717,11.1971508805943,-11.1971508805943,11.3997227586572,-11.3997227586572,10.8158311133026
76,-0.333615131252893,0.475491537102117,-0.141876405849224,-1.23360879153931,-3.2065765727859,4.44018536432521,10.954712264783,-10.954712264783,11.1692840014735,-11.1692840014735,10.5205643315326
77,0.657088866315902,-0.262847029876952,-0.39424183643895,-1.5982455804789,-3.29851977491701,4.89676535539591,10.5614053667122,-10.5614053667122,10.7576992988562,-10.7576992988562,11.2311863979507
78,-0.0377326860598036,0.298297976312785,-0.260565290252981,-1.30030150773476,-3.35320259494636,4.65350410268113,10.8670344949854,-10.8670344949854,11.1954096808709,-11.1954096808709,11.0648733287022
79,-0.161017153390476,0.239468969976457,-0.0784518165859813,-2.16145887388747,-3.08413438669922,5.24559326058669,11.1932502813222,-11.1932502813222,11.4210190414698,-11.4210190414698,10.7370945807521
80,0.95707879841544,0.0849979456350912,-1.04207674405053,-0.722504496864685,-4.03829738665113,4.76080188351581,10.3483337725836,-10.3483337725836,10.6426764571938,-10.6426764571938,11.1781638460157
81,0.960526127486161,-0.299278121000057,-0.661248006486104,-0.874844402300321,-4.10534714282086,4.98019154512118,9.67392159577819,-9.67392159577819,10.6146326970522,-10.6146326970522,9.82045754680492
82,-1.08296345352804,0.505741644711189,0.577221808816853,-1.45608966064406,-3.34982665659565,4.80591631723971,11.5688330060068,-11.5688330060068,11.8700970778632,-11.8700970778632,10.9633514904967
83,2.02197075301236,-0.713117924853739,-1.30885282815862,-0.517964128113222,-3.82958155543488,4.3475456835481,8.38728415202421,-8.38728415202421,8.90546131229536,-8.90546131229536,11.4283171731711
84,0.636661835914262,0.228320763115463,-0.864982599029724,-2.27732438341409,-2.30413500884699,4.58145939226108,10.2884893739704,-10.2884893739704,10.2596019525571,-10.2596019525571,10.1254594469209
85,-0.359677659164156,0.222467098402367,0.137210560761789,-1.94147822677381,-3.08591134556892,5.02738957234273,11.1393993271228,-11.1393993271228,11.6032517731578,-11.6032517731578,11.1303110359359
86,0.391469643341929,0.23316513154853,-0.624634774890459,-0.881997287350708,-3.43964180977819,4.3216390971289,10.2703332687509,-10.2703332687509,10.6396221064936,-10.6396221064936,11.1499179802295
87,-0.640438671183047,0.600075132778762,0.0403635384042846,-1.78439358137504,-3.25709291662172,5.04148649799677,10.9762105550259,-10.9762105550259,11.249935491009,-11.249935491009,10.8320233191786
